-3/22,0,0,2,-5,-2,-5,-3,1,-8,-5,-8,-2,-9,4,4,3,-12,2,2,13,-2,8,-4,10,13
-7/46,0,-2,-2,1,-1,6,5,-2,0,5,-1,-6,2,-12,0,-3,-2,-2,12,16,7,-5,-7,2,12
-16/95,0,2,0,3,-3,-1,6,-2,6,-1,1,8,-3,10,-11,-10,0,-7,2,16,-4,8,16,0,8
-14/15,-1,0,0,1,-1,-6,1,-2,-9,4,-4,-8,10,-2,0,-2,5,-13,10,-3,-10,-8,7,-8,0
-61/57,0,0,0,1,0,-6,-3,-2,3,5,6,-2,8,7,-6,-6,0,-13,14,11,-2,6,-7,6,8
-60/59,0,0,0,0,4,2,4,1,2,-1,-1,-8,-3,8,-8,6,10,8,-12,3,2,-16,-13,0,2
-59/56,0,-2,0,-5,4,-5,6,1,-3,6,0,-6,-9,-12,-10,-6,-12,13,3,8,-2,5,4,1,11
-31/28,0,-2,-3,-5,-3,-5,-3,1,-8,-7,-10,-11,2,-4,8,11,0,-10,-12,12,-10,6,-16,18,10
-61/56,0,2,1,-5,4,2,5,1,6,4,-5,2,7,6,-6,-3,7,-13,-5,16,10,5,-10,6,2
-21/19,0,0,0,1,4,1,5,-2,3,-4,-7,-3,-6,-6,0,-10,-2,4,3,15,-1,13,9,0,-2
-65/53,0,-2,0,3,4,-7,-1,1,-8,9,-8,2,-9,9,0,5,0,4,11,-9,-13,8,-3,1,12
-62/55,-1,2,0,1,-2,2,-1,1,3,4,-10,10,-3,4,-1,-9,6,8,-14,3,8,4,1,10,-4
-17/13,0,2,0,3,0,-2,-8,1,0,0,-9,-6,-6,4,-8,-3,10,0,2,15,-10,-8,-15,-6,17
-62/57,1,0,2,0,-1,4,4,-2,-3,-2,-10,-2,8,-7,3,-9,-9,-1,12,-9,-1,-12,-11,-1,-8
-22/19,-1,-2,-3,-5,0,-5,-5,-2,-8,-5,2,-6,-6,-1,-11,6,13,2,8,6,10,-16,12,2,3
-29/18,0,0,-2,-5,6,0,2,-2,-3,-10,2,-2,4,-3,2,3,2,-13,-14,15,-2,6,0,-6,-14
-8/71,0,-2,0,1,4,1,2,-2,-9,6,6,-2,-6,-12,-11,6,0,-3,8,4,-6,0,10,-7,-2
-10/71,1,2,0,-5,0,6,-3,1,6,-8,1,-6,0,9,-6,-4,11,0,5,4,-9,10,-5,5,2
-23/34,0,2,2,1,6,0,-2,0,-7,6,-9,-7,2,-10,6,-14,1,1,4,-15,-14,-16,1,-12,-2
-5/6,0,0,0,-5,-5,2,-6,1,-8,-2,-7,-6,1,6,0,6,11,-4,2,-5,7,-6,5,-17,-4
-30/49,1,0,0,-5,4,2,5,1,-3,9,10,-5,0,4,13,-12,5,-2,1,8,14,0,-11,-14,10
11/16,0,-2,4,1,0,-5,-5,1,-3,-5,-1,-2,-3,-2,-2,-14,6,4,-12,0,7,10,-15,-4,-1
22/31,1,2,-3,-5,0,6,-3,1,-4,4,2,-2,1,5,0,0,-1,-3,0,4,6,8,-16,18,-2
25/31,0,2,0,1,-3,-5,2,-2,2,-1,2,10,-6,1,11,-3,6,-4,9,15,2,10,6,2,0
-79/95,0,2,0,3,2,1,-3,-2,1,4,2,6,6,-3,-6,0,4,-5,9,-9,-1,4,-4,18,13
-39/47,0,0,0,1,0,-7,2,1,3,6,0,-7,-6,-6,3,-11,0,-10,-8,-6,-10,-14,-3,6,16
14/13,-1,-2,2,1,4,-2,2,1,-8,10,-9,-2,6,7,-10,11,-4,-3,-12,10,2,-1,-10,-14,-6
17/9,0,0,0,-5,0,6,-8,1,3,-10,-9,-1,-1,8,0,-6,-11,1,-10,4,-4,5,6,-10,18
59/43,0,-2,0,3,4,-5,3,1,3,-1,1,-5,8,-12,0,6,-12,8,12,-15,-2,-1,-9,6,-3
61/42,0,0,-2,-5,0,1,2,0,6,-1,-1,11,6,-4,-11,-11,6,-13,11,-12,-2,-15,4,1,-2
